Date,Price_0939,Prev_Delta_Close,Gap,atr10m_pct,vwap_gap,ret939_pct,MACD_Hist,Bollinger_Width,OBV,MA5,Composite_HL,ATR_14,Stoch_K,Stoch_D,Delta_Close
2016-02-02,38.28,1.300000762939,-0.011703530663,0.002247894737,0.002007076714,0.007368421053,-0.223765291021,0.154495995146,-37824800.0,38.72799987793,0.481849166538,1.449999400548,43.058020278046,29.201687331768,-0.399998931885
2016-02-03,38.0902,-0.399998931885,0.009239663787,0.002939378103,-0.000212161792,-0.004698197021,-0.213663998727,0.153163454467,-47457200.0,38.27200012207,-0.053921876765,1.452142170497,33.040448532976,36.203876951631,-0.070199542236
2016-02-04,37.68,-0.070199542236,-0.006312511194,0.002247220752,-0.000279672292,-0.002646903123,-0.178958726122,0.146365944535,-40543200.0,37.781999969482,-0.062924445524,1.436428070068,36.794168302693,37.630879037905,0.329998321533
2016-02-05,37.96,0.329998321533,0.00578798291,0.003553608787,0.000114528394,-0.007322175732,-0.13981632687,0.138694100052,-45647000.0,38.041999816895,0.17574233632,1.401428222656,36.611980084648,35.482198973439,-0.550000152588
2016-02-08,36.87,-0.550000152588,-0.005880813194,0.002946971736,-0.000890364667,-0.007537012113,-0.137278250099,0.140905426857,-51397200.0,37.954000091553,-0.316893884422,1.392856870379,25.683049473111,33.029732620151,0.589999084473
2016-02-09,37.25,0.589999084473,-0.013347571068,0.002718420341,0.00065067814,0.007573708412,-0.116021883379,0.145381625504,-43595200.0,37.755999755859,0.154785592511,1.375714165824,26.593782109998,29.629603889253,-0.25
2016-02-10,37.81,-0.25,0.015675725164,0.00252900479,-0.000294755728,0.006120276743,-0.116430013111,0.150861907729,-52286800.0,37.579999542236,0.034275823912,1.344285692487,18.214930675524,23.497254086211,-0.600000915527
2016-02-11,36.67,-0.600000915527,-0.020693374811,0.002153951701,-8.5593982e-05,0.006311745335,-0.087372549218,0.146560531285,-44377400.0,37.417999267578,-0.160285869428,1.361428669521,22.040049441117,22.282920742213,-0.329999847412
2016-02-12,36.57,-0.329999847412,0.009906455939,0.001911347518,0.000390937569,-0.002454991817,-0.110093672974,0.154597106681,-52101400.0,37.083999633789,-0.048820292939,1.394999912807,6.193079209056,15.482686441899,0.560001068115
2016-02-16,37.45,0.560001068115,0.0,0.004001855343,-0.000133039708,0.008618367897,-0.057889295549,0.147875201323,-45676600.0,37.02799987793,0.296766519323,1.411428724016,20.582891118987,16.27200658972,0.540001678467
2016-02-17,38.365,0.540001678467,0.010002559532,0.002150156413,7.7263887e-05,0.000130344108,0.043139453146,0.140091973134,-37716400.0,37.134000396729,0.494860341397,1.418571744646,36.24774261745,21.007904315164,0.085000762939
2016-02-18,38.421,0.085000762939,-0.002860874075,0.001486176317,-0.000411168421,0.002112676056,0.143848791474,0.131181704515,-31357500.0,37.424000549316,0.129164224168,1.345714569092,89.743632705339,48.858088813926,-0.110998626709
2016-02-19,38.185,-0.110998626709,0.00026098463,0.002051282051,-0.000548867101,-0.004302477184,0.200460218236,0.124831903008,-36975300.0,37.64400100708,-0.013642780944,1.074285779681,79.791002334121,68.594125885637,0.344998779297
2016-02-22,39.1,0.344998779297,0.0,0.002281538462,0.000565972317,0.002564102564,0.248981528906,0.121293115203,-31240300.0,38.082000732422,0.212498840093,1.025714601789,87.456420027665,85.663685022375,0.059999847412
2016-02-23,38.99,0.059999847412,-0.006384065398,0.001644821383,0.000304606735,0.002056026728,0.315486540861,0.115192835689,-26294000.0,38.488000488281,0.452726321664,0.895000457764,97.515471996859,88.254298119549,-0.600000610352
2016-02-24,38.19,-0.600000610352,-0.005470150764,0.001872708224,0.001326449465,0.000261917234,0.299713201392,0.109154742159,-32438300.0,38.568000030518,-0.336898802431,0.891429083688,73.602423375207,86.191438466577,1.010000762939
2016-02-25,39.41,1.010000762939,0.000510215749,0.002332993371,0.000196460817,0.004844467109,0.333345168442,0.100443197566,-25383500.0,38.718000030518,0.394997741993,0.894286019461,96.363667860866,89.160521077644,0.220001068115
2016-02-26,39.74,0.220001068115,-0.003785049756,0.001808510638,-0.000428326775,0.006585612969,0.371169839707,0.089866663534,-17775200.0,38.981999969482,0.314424039815,0.892857142857,99.723803163521,89.896631466531,-0.219999542236
